epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,1238.11,0.49026,0.54136,0.95513,0.94517,0.93963,0.97791,0.97544,0.94165,0.3349,0.3125,0.76727,0.0007426,0.0007426,0.0007426
41,1268.69,0.51373,0.54121,0.9619,0.94527,0.90817,0.98021,0.97774,0.92624,0.39788,0.34815,0.7819,0.000736,0.000736,0.000736
42,1298.26,0.53441,0.56503,0.97484,0.97644,0.94409,0.98751,0.98543,0.94991,0.35105,0.28981,0.76965,0.0007294,0.0007294,0.0007294
43,1327.82,0.51586,0.54805,0.9653,0.9669,0.92779,0.98346,0.98111,0.94532,0.35059,0.28976,0.77006,0.0007228,0.0007228,0.0007228
44,1357.26,0.48895,0.52876,0.95718,0.97392,0.95031,0.99068,0.98853,0.95607,0.34173,0.26267,0.76842,0.0007162,0.0007162,0.0007162
45,1386.57,0.48243,0.51499,0.95314,0.95222,0.94217,0.98941,0.98712,0.94956,0.34584,0.274,0.77005,0.0007096,0.0007096,0.0007096
46,1415.85,0.49269,0.55911,0.95871,0.98083,0.96153,0.9892,0.98626,0.94664,0.36128,0.27021,0.77406,0.000703,0.000703,0.000703
47,1445.49,0.50905,0.54033,0.96409,0.98047,0.95257,0.98691,0.98442,0.95052,0.354,0.27596,0.77028,0.0006964,0.0006964,0.0006964
48,1474.57,0.48251,0.52081,0.95538,0.9385,0.9143,0.98007,0.97784,0.94774,0.32786,0.33639,0.75986,0.0006898,0.0006898,0.0006898
49,1500.81,0.46056,0.51338,0.9494,0.97381,0.91122,0.98637,0.98444,0.94991,0.36593,0.28619,0.7676,0.0006832,0.0006832,0.0006832
50,1528.14,0.47962,0.50152,0.95561,0.96315,0.9338,0.98559,0.98374,0.95127,0.36082,0.27471,0.76654,0.0006766,0.0006766,0.0006766
51,1555.67,0.47408,0.50907,0.95348,0.9809,0.9319,0.98863,0.9867,0.94686,0.37545,0.28284,0.77334,0.00067,0.00067,0.00067
52,1583.07,0.47246,0.52167,0.95095,0.94482,0.92123,0.97995,0.97784,0.9457,0.34955,0.3227,0.77399,0.0006634,0.0006634,0.0006634
53,1609.67,0.47955,0.50794,0.9531,0.95938,0.95265,0.99107,0.98897,0.96072,0.30424,0.24976,0.76202,0.0006568,0.0006568,0.0006568
54,1636.14,0.473,0.49232,0.9469,0.98554,0.93479,0.98974,0.98974,0.95856,0.31828,0.26364,0.75787,0.0006502,0.0006502,0.0006502
55,1663.33,0.46913,0.49474,0.94495,0.97666,0.96191,0.98812,0.98812,0.94269,0.34794,0.2646,0.76658,0.0006436,0.0006436,0.0006436
56,1692.3,0.45822,0.49475,0.93499,0.96999,0.96586,0.98976,0.98759,0.96132,0.32527,0.23325,0.75751,0.000637,0.000637,0.000637
57,1720.18,0.49648,0.50309,0.96819,0.97659,0.94844,0.98701,0.98473,0.9586,0.31529,0.25799,0.75637,0.0006304,0.0006304,0.0006304
58,1747.5,0.52379,0.50398,0.95909,0.98077,0.9194,0.98701,0.98502,0.95897,0.32354,0.28029,0.75914,0.0006238,0.0006238,0.0006238
59,1774.95,0.47615,0.48843,0.94759,0.96931,0.90038,0.98254,0.98001,0.94725,0.34119,0.33733,0.76967,0.0006172,0.0006172,0.0006172
60,1802.41,0.46579,0.46774,0.94792,0.96799,0.94835,0.98785,0.98534,0.95512,0.33484,0.26898,0.76317,0.0006106,0.0006106,0.0006106
61,1829.93,0.46038,0.47461,0.94501,0.96777,0.92838,0.98778,0.98511,0.94337,0.35513,0.27468,0.77381,0.000604,0.000604,0.000604
62,1857.48,0.46367,0.49488,0.95042,0.97489,0.89973,0.98239,0.98036,0.95638,0.30764,0.30743,0.75713,0.0005974,0.0005974,0.0005974
63,1885.71,0.46342,0.47943,0.94476,0.96808,0.93437,0.98732,0.98505,0.95506,0.32848,0.26789,0.76177,0.0005908,0.0005908,0.0005908
64,1914.5,0.44171,0.44598,0.93798,0.96776,0.95407,0.9862,0.98336,0.95713,0.30899,0.26866,0.7597,0.0005842,0.0005842,0.0005842
65,1942.52,0.45818,0.46164,0.94795,0.96779,0.96116,0.99061,0.99061,0.95386,0.33495,0.24395,0.76605,0.0005776,0.0005776,0.0005776
66,1969.86,0.44199,0.4562,0.93991,0.94866,0.96949,0.98856,0.98856,0.95422,0.3557,0.26672,0.77137,0.000571,0.000571,0.000571
67,1997.26,0.43816,0.44275,0.93519,0.97497,0.9403,0.98416,0.98416,0.94819,0.35536,0.25327,0.77613,0.0005644,0.0005644,0.0005644
68,2024.66,0.43581,0.42598,0.94126,0.96022,0.92739,0.9723,0.96858,0.9382,0.32393,0.3362,0.77133,0.0005578,0.0005578,0.0005578
69,2052.48,0.43598,0.4365,0.93273,0.9906,0.96275,0.98995,0.98995,0.96095,0.32971,0.24229,0.75958,0.0005512,0.0005512,0.0005512
70,2081.35,0.44471,0.45681,0.94274,0.97885,0.95609,0.98998,0.98998,0.96587,0.30986,0.24229,0.7562,0.0005446,0.0005446,0.0005446
71,2109.81,0.429,0.44056,0.93231,0.97571,0.95704,0.99146,0.98888,0.96115,0.32452,0.23366,0.75416,0.000538,0.000538,0.000538
72,2137.35,0.42097,0.41942,0.92837,0.98417,0.98225,0.992,0.98986,0.96578,0.31825,0.20921,0.75696,0.0005314,0.0005314,0.0005314
73,2164.79,0.43495,0.41908,0.9286,0.99013,0.94071,0.98819,0.98819,0.95292,0.34481,0.25275,0.76547,0.0005248,0.0005248,0.0005248
74,2191.99,0.43255,0.42821,0.93988,0.96901,0.97769,0.992,0.992,0.93332,0.39575,0.23384,0.7811,0.0005182,0.0005182,0.0005182
75,2219.33,0.45205,0.43388,0.94642,0.97973,0.95645,0.99111,0.98878,0.96289,0.2945,0.22766,0.75373,0.0005116,0.0005116,0.0005116
76,2246.68,0.45138,0.42721,0.93717,0.97093,0.94534,0.98872,0.98872,0.96227,0.29636,0.23528,0.75414,0.000505,0.000505,0.000505
77,2273.9,0.4162,0.38946,0.92563,0.98067,0.94909,0.99002,0.99002,0.96371,0.31074,0.23857,0.75787,0.0004984,0.0004984,0.0004984
78,2301.88,0.43677,0.42859,0.93254,0.97426,0.9615,0.99138,0.99138,0.95813,0.34897,0.2281,0.76259,0.0004918,0.0004918,0.0004918
79,2330.76,0.41776,0.40297,0.93145,0.95678,0.97448,0.98888,0.98888,0.96914,0.29396,0.24686,0.74736,0.0004852,0.0004852,0.0004852
80,2358.48,0.41849,0.40495,0.9251,0.96314,0.9602,0.99015,0.98755,0.96011,0.33477,0.24178,0.75818,0.0004786,0.0004786,0.0004786
81,2386.34,0.40983,0.40713,0.92625,0.97013,0.97407,0.99134,0.99134,0.96184,0.35794,0.22626,0.76606,0.000472,0.000472,0.000472
82,2414.61,0.42317,0.40472,0.93491,0.97059,0.95702,0.99151,0.99151,0.97282,0.28224,0.21534,0.74528,0.0004654,0.0004654,0.0004654
