Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,mAP@0.5,mAP@0.5:0.95,Total Latency (ms),FPS
YOLOv13n,0.9884393063583815,0.988960113960114,0.9875,0.9880065417448595,0.9883556380234032,0.9941666666666666,0.9815272785883966,25.07805549357937,39.87549992685939
HOG-KNN GT Crop,0.9942196531791907,0.9953703703703703,0.99375,0.9944989944398439,0.9942100796720937,N/A,N/A,19.21340173670236,52.0470041538637
YOLO Crop + HOG-KNN,0.9942196531791907,0.9941860465116279,0.99375,0.9938942665673864,0.9942170707457638,N/A,N/A,44.42608554684691,22.509298032695423
