Pipeline / Komponen,mean,median,std,p5,p95,fps
YOLOv13n (Native Inference Only),21.057356299692497,20.681142807006836,1.675853447013157,18.850326538085938,23.865842819213867,47.48934224067829
YOLOv13n (Total Wall-Clock Pipeline),25.07805549357937,25.16070002457127,1.9017983652608046,22.267620009370148,28.012440016027544,39.87549992685939
HOG-KNN GT: Crop Wajah,0.009713296420506142,0.008999952115118504,0.0026107402828532246,0.007499998901039362,0.014139991253614426,102951.6609715378
HOG-KNN GT: HOG Extraction (Resize+Gray+HOG),1.1870653157908404,1.1728000245057046,0.12038548774287255,0.982340017799288,1.413720031268895,842.4136285489777
HOG-KNN GT: KNN Predict (Single Sample),18.016623124491016,17.940099991392344,0.8380639203410939,16.75791998859495,19.410499988589436,55.50429695344204
HOG-KNN GT: Total Pipeline,19.213401736702362,19.11290001589805,0.8601966905626875,17.90854000719264,20.717840001452714,52.0470041538637
YOLO-HOG-KNN: YOLO Detection Stage,25.07805549357937,25.16070002457127,1.9017983652608046,22.267620009370148,28.012440016027544,39.87549992685939
YOLO-HOG-KNN: Crop Stage,0.38287340935233527,0.31569995917379856,0.13733202578699347,0.25804004399105906,0.6080199731513858,2611.8293294161895
YOLO-HOG-KNN: HOG Extraction Stage,1.1081658969929367,1.0990999871864915,0.08732839774862138,0.9784399648196995,1.256679999642074,902.3919637967111
YOLO-HOG-KNN: KNN Predict Stage,17.856990746922275,17.798000015318394,0.7332366114568335,16.712160012684762,19.08494000090286,56.0004770217151
YOLO-HOG-KNN: Total Hybrid Pipeline,44.42608554684691,44.41710008541122,2.0252962518294004,41.253199975471944,47.86379993893206,22.509298032695426
