segment_id,label,start_frame,end_frame,frame_count,start_time,end_time,duration_sec
102,engaged,2217,2222,6,73.9,74.0667,0.2
103,confused,2223,2238,16,74.1,74.6,0.5333
104,engaged,2239,2252,14,74.6333,75.0667,0.4667
105,confused,2253,2261,9,75.1,75.3667,0.3
106,engaged,2262,2265,4,75.4,75.5,0.1333
107,confused,2266,2267,2,75.5333,75.5667,0.0667
108,engaged,2268,2276,9,75.6,75.8667,0.3
109,confused,2277,2285,9,75.9,76.1667,0.3
110,engaged,2286,2286,1,76.2,76.2,0.0333
111,confused,2287,2288,2,76.2333,76.2667,0.0667
112,engaged,2289,2289,1,76.3,76.3,0.0333
113,confused,2290,2290,1,76.3333,76.3333,0.0333
114,engaged,2291,2292,2,76.3667,76.4,0.0667
115,confused,2293,2294,2,76.4333,76.4667,0.0667
116,engaged,2295,2295,1,76.5,76.5,0.0333
117,confused,2296,2297,2,76.5333,76.5667,0.0667
118,engaged,2298,2300,3,76.6,76.6667,0.1
119,confused,2301,2301,1,76.7,76.7,0.0333
120,engaged,2302,2304,3,76.7333,76.8,0.1
121,confused,2305,2309,5,76.8333,76.9667,0.1667
122,bored,2310,2313,4,77.0,77.1,0.1333
123,confused,2314,2319,6,77.1333,77.3,0.2
124,engaged,2320,2320,1,77.3333,77.3333,0.0333
125,frustrated,2321,2322,2,77.3667,77.4,0.0667
126,engaged,2323,2355,33,77.4333,78.5,1.1
127,confused,2356,2358,3,78.5333,78.6,0.1
128,engaged,2359,2359,1,78.6333,78.6333,0.0333
129,confused,2360,2360,1,78.6667,78.6667,0.0333
130,engaged,2361,2362,2,78.7,78.7333,0.0667
131,frustrated,2363,2364,2,78.7667,78.8,0.0667
132,confused,2365,2365,1,78.8333,78.8333,0.0333
133,bored,2366,2368,3,78.8667,78.9333,0.1
134,engaged,2369,2370,2,78.9667,79.0,0.0667
135,bored,2371,2371,1,79.0333,79.0333,0.0333
136,confused,2372,2372,1,79.0667,79.0667,0.0333
137,bored,2373,2376,4,79.1,79.2,0.1333
138,confused,2377,2377,1,79.2333,79.2333,0.0333
139,engaged,2378,2383,6,79.2667,79.4333,0.2
140,confused,2384,2394,11,79.4667,79.8,0.3667
141,engaged,2395,2395,1,79.8333,79.8333,0.0333
142,confused,2396,2399,4,79.8667,79.9667,0.1333
143,bored,2400,2406,7,80.0,80.2,0.2333
144,frustrated,2407,2408,2,80.2333,80.2667,0.0667
145,engaged,2409,2428,20,80.3,80.9333,0.6667
146,confused,2429,2429,1,80.9667,80.9667,0.0333
147,engaged,2430,2431,2,81.0,81.0333,0.0667
148,confused,2432,2432,1,81.0667,81.0667,0.0333
149,engaged,2433,2440,8,81.1,81.3333,0.2667
150,frustrated,2441,2446,6,81.3667,81.5333,0.2
151,confused,2447,2455,9,81.5667,81.8333,0.3
152,engaged,2456,2456,1,81.8667,81.8667,0.0333
153,confused,2457,2462,6,81.9,82.0667,0.2
154,bored,2463,2464,2,82.1,82.1333,0.0667
155,engaged,2465,2510,46,82.1667,83.6667,1.5333
156,confused,2511,2519,9,83.7,83.9667,0.3
157,engaged,2520,2523,4,84.0,84.1,0.1333
158,confused,2524,2527,4,84.1333,84.2333,0.1333
159,engaged,2528,2532,5,84.2667,84.4,0.1667
160,confused,2533,2537,5,84.4333,84.5667,0.1667
161,engaged,2538,2550,13,84.6,85.0,0.4333
162,confused,2551,2552,2,85.0333,85.0667,0.0667
163,engaged,2553,2559,7,85.1,85.3,0.2333
164,confused,2560,2562,3,85.3333,85.4,0.1
165,engaged,2563,2567,5,85.4333,85.5667,0.1667
166,confused,2568,2570,3,85.6,85.6667,0.1
167,engaged,2571,2598,28,85.7,86.6,0.9333
168,confused,2599,2601,3,86.6333,86.7,0.1
169,engaged,2602,2602,1,86.7333,86.7333,0.0333
170,confused,2603,2604,2,86.7667,86.8,0.0667
171,engaged,2605,2609,5,86.8333,86.9667,0.1667
172,confused,2610,2610,1,87.0,87.0,0.0333
173,engaged,2611,2619,9,87.0333,87.3,0.3
174,bored,2620,2620,1,87.3333,87.3333,0.0333
175,engaged,2621,2622,2,87.3667,87.4,0.0667
176,bored,2623,2637,15,87.4333,87.9,0.5
177,confused,2638,2718,81,87.9333,90.6,2.7
178,bored,2719,2722,4,90.6333,90.7333,0.1333
179,frustrated,2723,2723,1,90.7667,90.7667,0.0333
180,confused,2724,2734,11,90.8,91.1333,0.3667
181,frustrated,2735,2744,10,91.1667,91.4667,0.3333
182,confused,2745,2746,2,91.5,91.5333,0.0667
183,frustrated,2747,2749,3,91.5667,91.6333,0.1
184,confused,2750,2773,24,91.6667,92.4333,0.8
185,frustrated,2774,2777,4,92.4667,92.5667,0.1333
186,bored,2778,2784,7,92.6,92.8,0.2333
187,confused,2785,2789,5,92.8333,92.9667,0.1667
188,bored,2790,2791,2,93.0,93.0333,0.0667
189,frustrated,2792,2792,1,93.0667,93.0667,0.0333
190,bored,2793,2793,1,93.1,93.1,0.0333
191,frustrated,2794,2795,2,93.1333,93.1667,0.0667
192,confused,2796,2814,19,93.2,93.8,0.6333
193,engaged,2815,2816,2,93.8333,93.8667,0.0667
194,frustrated,2817,2817,1,93.9,93.9,0.0333
195,engaged,2818,2849,32,93.9333,94.9667,1.0667
196,confused,2850,2852,3,95.0,95.0667,0.1
197,frustrated,2853,2858,6,95.1,95.2667,0.2
198,engaged,2859,2896,38,95.3,96.5333,1.2667
199,bored,2897,2903,7,96.5667,96.7667,0.2333
200,engaged,2904,2989,86,96.8,99.6333,2.8667
201,bored,2990,2992,3,99.6667,99.7333,0.1
202,engaged,2993,3086,94,99.7667,102.8667,3.1333
203,bored,3087,3090,4,102.9,103.0,0.1333
204,engaged,3091,3106,16,103.0333,103.5333,0.5333
205,bored,3107,3107,1,103.5667,103.5667,0.0333
206,engaged,3108,3181,74,103.6,106.0333,2.4667
