Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,mAP@0.5,mAP@0.5:0.95,Total Latency (ms),FPS
YOLOv13n,0.6265060240963856,0.6212418300653595,0.6205496319195201,0.6180341997872063,0.624616516586803,0.7077976720524399,0.6370058612309464,25.353030122449084,39.44301707410273
HOG-KNN GT Crop,0.25903614457831325,0.3011904761904762,0.24308375468287444,0.25345521964374423,0.2671894732431963,N/A,N/A,3.503457833143198,285.4322922170951
YOLO Crop + HOG-KNN,0.3192771084337349,0.31556300188946623,0.30197008199942366,0.2912464285311409,0.3024434276613305,N/A,N/A,29.16065482065048,34.29278272900228
