Pipeline / Komponen,mean,median,std,p5,p95,fps
YOLOv13n (Native Inference Only),22.635659539555927,21.239876747131348,4.511210743776273,17.757415771484375,31.360149383544922,44.17808097230368
YOLOv13n (Total Wall-Clock Pipeline),25.353030122449084,24.29485000902787,4.798730778717685,20.188724985928275,34.30077501980122,39.44301707410273
HOG-KNN GT: Crop Wajah,0.009037952600832445,0.008400005754083395,0.0021942853670686964,0.007100010407157242,0.012575022992677987,110644.52804365168
HOG-KNN GT: HOG Extraction (Resize+Gray+HOG),1.050595783892211,0.985999999102205,0.20052392851575196,0.8433000039076433,1.4177500415826216,951.840865280493
HOG-KNN GT: KNN Predict (Single Sample),2.4438240966501543,2.376250020461157,0.46607427520939015,1.9343500025570393,3.2594749645795673,409.1947539803455
HOG-KNN GT: Total Pipeline,3.503457833143198,3.4755000087898225,0.5503337949513883,2.816199979861267,4.369225003756583,285.4322922170951
YOLO-HOG-KNN: YOLO Detection Stage,25.353030122449084,24.29485000902787,4.798730778717685,20.188724985928275,34.30077501980122,39.44301707410273
YOLO-HOG-KNN: Crop Stage,0.3478572292236544,0.3236999618820846,0.11167574553765289,0.23920000239741057,0.5393249884946272,2874.7426127431468
YOLO-HOG-KNN: HOG Extraction Stage,1.0394710855956852,1.0137500357814133,0.18851292457441035,0.8085000299615785,1.3343749742489308,962.0277214607988
YOLO-HOG-KNN: KNN Predict Stage,2.4202963833820568,2.2922499920241535,0.5095568043439614,1.8258000200148672,3.456849983194843,413.17253823377905
YOLO-HOG-KNN: Total Hybrid Pipeline,29.16065482065048,27.91039997828193,5.1325378597329525,23.465474994736724,38.82204997353256,34.29278272900228
